x,y
-3.233170854,-16.89861096
-13.12357585,11.53523069
5.066677801,-6.769367011
6.370187006,-8.553983221
-3.416783245,14.30801259
9.900402987,-6.567253422
0.983463072,-15.65018565
4.831159695,-6.144694481
-2.487035021,-8.636102864
-12.94032061,8.442752914
-16.50523626,10.81115645
-9.572647116,-5.82497865
5.342384966,-2.059444689
9.536882015,11.05601572
9.43404859,-7.789896065
-9.964595903,-7.691767695
6.775544703,-13.96681391
6.600476224,-14.10897957
0.546218256,5.600106755
-14.34943946,0.720633131
-14.05506652,5.741715748
-13.26170493,11.57550974
-10.78971959,3.965382467
-8.871426449,-8.632469706
-16.51152333,10.8131276
-9.214186328,-10.61121032
-3.731703108,5.593594323
5.124974019,-8.685373403
-11.56949255,10.94595896
-10.47825685,11.2285578
-13.15461008,4.963377449
-10.04225786,-11.06489137
-0.956466638,29.86036207
-11.20007136,10.93790721
-5.449203229,9.946778405
2.086122066,5.145806788
5.370515804,-17.90428849
6.014120934,-7.934108778
-15.60286129,-6.780579689
-10.84509327,-7.179187975
2.285741868,-13.72410739
5.427713373,-15.76289091
2.107904982,4.801429335
2.26479901,5.234249637
-0.862743728,14.1897824
-5.857147092,-5.085669128
-8.794181104,7.205650259
0.623276128,9.411966469
-5.450142325,9.948170827
-5.362184821,-8.132422548
-9.025721386,7.257048823
-17.85152043,3.534849972
13.11102423,-2.716714788
-10.35381117,-18.81188666
15.30885508,-5.153523272
5.576415259,-7.319388676
-4.213793578,-6.234667515
-1.940909517,31.07440498
-1.582871748,14.20889689
-14.10496109,5.421989778
-2.662157976,8.431396659
9.235791387,-8.1700423
-6.278579287,-4.625326187
5.89730562,-3.941580697
-3.382914299,14.30563537
10.17198709,9.164416276
-2.48684811,-8.443947922
-9.275360169,-8.500407273
-8.349116361,1.980510166
-15.6009063,-6.782907528
1.772981653,4.677585934
-12.97892533,3.864475759
5.809603089,-2.583845648
-14.44275158,5.149883371
10.75944913,-6.647122415
1.221130337,9.149541252
5.386164044,-17.13515391
9.800270015,9.128333731
-1.230831358,-8.290674917
-2.069855343,5.084130548
5.754041186,-2.656830497
5.382991398,-17.82661325
10.33308796,12.40293697
-13.5407658,10.49230077
-1.917182041,8.331116271
0.341251445,-12.72315918
0.702975572,5.536704333
-17.27974154,4.439420136
-9.353238486,-8.083381275
-14.03591649,7.276729105
-5.408017148,-7.193425427
5.467388396,-16.37821969
7.390350783,-14.93118416
-2.952085649,6.380484534
0.162698131,-14.58203844
-1.694858366,14.21896411
-4.92555897,-5.728903327
-10.40669557,-8.972469548
10.35765843,11.15501833
9.258788583,-8.093320948
7.341286237,-8.064747826
-5.457410089,-7.148402112
-18.16202318,2.973343853
-9.09702544,-19.07077088
-12.92351649,2.917571409
-9.239393928,-11.49306369
1.03628539,-12.7157876
-0.456223867,9.833578733
10.32321391,10.56536693
7.619092828,-12.4775005
1.422744882,2.544729415
5.372584363,-17.9205144
-0.319504217,-14.3111173
-2.130105075,31.20710615
-3.858871954,-3.150356298
-12.44342048,4.840674659
-16.7834216,5.030917433
11.75977532,-7.291441929
-2.310772865,-7.051852892
-10.31707735,-17.86029212
2.8865226,4.272615796
-11.35203427,6.392282831
7.450311742,-7.530298289
-1.553011523,7.24765994
-9.557068177,-19.19333539
-2.974109951,-4.660074259
-9.312895823,-11.26753405
2.249199584,-13.69203945
-8.388668647,-7.297581844
7.307682445,-13.00875249
-1.288692607,30.23625387
-1.071490164,8.019004054
-10.88951667,7.390011013
13.9615026,-12.4688995
-3.91770117,-15.45559515
13.961326,-12.46880276
0.381228321,9.512027494
14.65942974,-4.529700249
-8.252171795,1.756527587
-11.91903693,7.197939048
10.27877133,7.891023312
-0.542416215,-11.78381852
-2.253977475,6.591344081
-8.827830946,2.761418141
1.374054778,2.314061867
-9.778943517,-18.02600066
-13.15461038,4.963377292
5.894661872,-2.933378075
-4.296558474,-4.159276916
6.467340252,-1.345102647
13.46308313,-2.90798235
-11.52613635,4.945656992
15.30888394,-5.153527492
-8.343756035,-10.8889629
10.51940766,9.01958897
6.535818028,-6.693270665
9.275353944,-7.504783414
-9.260260857,-6.696263608
6.37080978,-14.12804406
-9.218154621,7.270244909
-9.750924467,-19.30137309
-5.60328723,-5.149115008
-12.93937729,5.518232291
10.62660597,10.34682893
10.32069975,12.63626265
-4.412296834,-4.536790734
